# source=gaiadr3.gaia_source via astroquery.Gaia(ROW_LIMIT=-1) query="SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE 1=CONTAINS(POINT('ICRS',ra,dec),CIRCLE('ICRS',133.85963729756944,-42.59317653588868,2.1)) AND phot_g_mean_mag < 14.0" fetched_utc=2026-06-17T05:06:53.303882+00:00
ra,dec,phot_g_mean_mag
132.5383242527115,-43.325644533907536,11.708250999450684
133.90310127962184,-44.629290137033664,11.70835018157959
132.6687805316112,-44.065687038305676,11.713698387145996
131.7505903352072,-42.01112365580881,11.723002433776855
132.90630088059666,-41.98811160144258,11.724433898925781
136.52980429933538,-42.2101411012564,11.724563598632812
134.39278569878616,-42.49140630936934,11.729500770568848
132.68136806111374,-41.50791942907383,11.74844741821289
135.836951078072,-43.07390998536802,11.751679420471191
131.62221713017544,-42.616409563432754,11.76244831085205
132.64002838937327,-41.465834033570815,11.763300895690918
133.6190468787664,-40.75532772372404,11.79492473602295
136.38569509374688,-41.716687805095276,11.800565719604492
134.96618427915413,-44.284425797294,11.8167085647583
135.58167028178937,-41.91888356824827,11.836092948913574
135.5319498523363,-44.26199369808032,11.855100631713867
135.60377012422228,-41.35730017389455,11.858264923095703
135.33589958733685,-41.18813060135191,11.858966827392578
135.09452339611101,-44.38198054756907,11.860845565795898
133.25295124597494,-43.33419169573259,11.881702423095703
132.43758277074983,-42.95166255674812,11.885757446289062
132.6718232691421,-44.08578638013757,11.89163589477539
133.9928157743792,-42.19142810724744,11.92070198059082
133.49648833293077,-43.03414422167498,11.925798416137695
133.82826243032858,-41.20582025145841,11.926435470581055
135.1849139899472,-41.82842393646221,11.927257537841797
134.53222879527019,-41.34812401748181,11.97082805633545
135.0077031596552,-41.69012906282825,11.986982345581055
132.50186940810244,-40.79414474472269,12.015634536743164
132.9835119848636,-44.28498724202819,12.066557884216309
136.005792859424,-42.568865663669726,12.06847095489502
133.957955659647,-42.11456779619648,12.070111274719238
133.825397976757,-43.58520523823256,12.07020378112793
131.50809171505398,-42.08658187083413,12.078567504882812
132.3103587261467,-41.152040881099815,12.08636474609375
135.71998374929535,-43.93311427621173,12.086481094360352
133.07957966004457,-42.33576655124633,12.092042922973633
135.82509854259104,-43.80489222827383,12.092103004455566
134.62855628039452,-40.86039544354503,12.098543167114258
131.20025483291516,-43.06218096167498,12.124943733215332
133.53539063069033,-43.63188569731328,12.127921104431152
135.43117573306247,-44.141480033568925,12.130165100097656
136.18831821656346,-42.337378248450165,12.16274356842041
132.66090805366423,-41.14343952334893,12.163670539855957
135.96956292143759,-42.28459548853429,12.16954231262207
131.96395180263912,-43.12264791853029,12.17125129699707
136.44174682447868,-43.34525932976814,12.195279121398926
132.05070920960767,-42.64838836188198,12.196700096130371
135.2108779052487,-41.241989958622455,12.214583396911621
135.69567460388012,-42.694959297003244,12.23250961303711
132.71904209890948,-41.680576664967525,12.235757827758789
133.50828329910777,-42.72308855525237,12.294100761413574
136.43277435087447,-43.19311076705891,12.31128978729248
133.38887853015672,-41.194755347943996,12.330503463745117
134.49280803341495,-42.17572598391394,12.33210277557373
134.19222193626956,-42.944529548659965,12.333603858947754
133.59179669454304,-42.864811000240074,12.340096473693848
135.09323055145353,-44.403078299718665,12.342487335205078
131.77170712503175,-43.039261307584006,12.354334831237793
133.93674357630266,-42.66734686078827,12.357830047607422
132.7989557456851,-43.091713900012685,12.361775398254395
131.3498416276005,-43.44190546711911,12.373703956604004
135.46127418888076,-43.42063542824159,12.376025199890137
135.39196522830423,-41.54517239710465,12.377616882324219
132.6124350862144,-43.64544628330882,12.399426460266113
134.706020007254,-44.473522851304125,12.401592254638672
132.70875218770743,-43.50435100948146,12.404683113098145
131.69113500637323,-42.258127684194186,12.413003921508789
134.06332409560795,-43.98890990149352,12.424127578735352
133.93850919900538,-44.32474624830379,12.439069747924805
135.11268603757694,-41.73176660680635,12.451929092407227
135.406602841906,-40.93154219284459,12.468376159667969
134.9679290732802,-43.82487196838782,12.46942138671875
136.38082605974688,-42.78904323850143,12.470046043395996
134.47491040785718,-43.99855016670784,12.485041618347168
135.74688905777114,-42.051861820120756,12.510290145874023
134.0547346472609,-41.0176416586897,12.52107048034668
132.75085963579826,-42.30564093624151,12.528955459594727
134.6476952746389,-43.720286927964935,12.530265808105469
133.58865284153518,-43.89299747402016,12.542101860046387
131.57072376908397,-42.62706020876516,12.55335521697998
132.743106510549,-41.45167153969227,12.558424949645996
